CODI_CAPA,CAPA_GENERICA,NOM_CAPA,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI,ADRECA
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Pau Claris amb carrer Còrsega,Eixample,la Dreta de l'Eixample,"C Pau Claris, 189"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Indústria,Gràcia,el Camp d'en Grassot i Gràcia Nova,"C Nàpols, 313"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi al Passeig de Sant Antoni (Estació d'Autobusos de Sants),Sants-Montjuïc,Sants,"C Viriat, 23"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb carrer Reina Victoria,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Vallmajor, 8"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del c. Rocafort amb la Gran Via de les Corts Catalanes,Eixample,Sant Antoni,"G.V. Corts Catalanes, 448"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Sant Andreu,Sant Andreu,Sant Andreu,"C Gran de Sant Andreu, 111"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Gran Via de les Corts Catalanes amb Roger de Flor,Eixample,la Dreta de l'Eixample,"G.V. Corts Catalanes, 669"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Av. Paral·lel amb Comte Borrell,Sants-Montjuïc,el Poble Sec,"Av Paral.lel, 87"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Hort de la Vila,Sarrià-Sant Gervasi,les Tres Torres,"Via Augusta, 334"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb la Ronda Litoral,Sant Martí,el Poblenou,"Pg Calvell, 57"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Rocafort amb Floridablanca,Eixample,Sant Antoni,"C Rocafort, 35"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el c. Sant Antoni Maria Claret,Gràcia,el Camp d'en Grassot i Gràcia Nova,"Pg Sant Joan, 188"
P001,Internet i comunicacions,WiFi BCN,Consorci de les Drassanes Reials i Museu Marítim de Barcelona,Ciutat Vella,el Raval,"Av Drassanes, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer d'Enric Granados amb carrer Rosselló,Eixample,l'Antiga Esquerra de l'Eixample,"C Enric Granados, 93"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb carrer del Guinardó,Sant Martí,el Camp de l'Arpa del Clot,"C Indústria, 316"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Pg. Reina Elisenda de Montcada amb la Plaça Sarrià,Sarrià-Sant Gervasi,Sarrià,"Pl Sarrià, 11"
P001,Internet i comunicacions,WiFi BCN,Pista Poliesportiva del Parc de la Creueta del Coll,Gràcia,el Coll,"C Castellterçol, 15"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb carrer del Francolí,Sarrià-Sant Gervasi,el Putxet i el Farró,"C Balmes, 316"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Villarroel amb carrer Diputació,Eixample,l'Antiga Esquerra de l'Eixample,"C Villarroel, 71"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Pamplona amb Almogàvers,Sant Martí,el Parc i la Llacuna del Poblenou,"C Pamplona, 101"
P001,Internet i comunicacions,WiFi BCN,Jardins de Vil·la Florida,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,"C Muntaner, 548"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Joan Miró,Eixample,la Nova Esquerra de l'Eixample,"C Diputació, 17*19"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb Còrsega,Eixample,l'Antiga Esquerra de l'Eixample,"C Casanova, 168"
P001,Internet i comunicacions,WiFi BCN,Centre Municipal Tennis Vall Hebron,Horta-Guinardó,la Vall d'Hebron,"Pg Vall d'Hebron, 178*196"
P001,Internet i comunicacions,WiFi BCN,El Punt - Punt d'Informació Juvenil de Sants-Montjuïc,Sants-Montjuïc,Sants,"C Muntadas, 1*5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer del Consell de Cent amb Comte Borrell,Eixample,la Nova Esquerra de l'Eixample,"C Consell de Cent, 158"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Fluvià amb Llull,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Fluvià, 50"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb Passeig del Taulat,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Selva de Mar, 18"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer de Joan Güell amb Trav. de les Corts,Les Corts,les Corts,"C Joan Güell, 174"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Av. Portal de l'Àngel amb el carrer Fontanella,Ciutat Vella,el Barri Gòtic,"Pl Catalunya, 17"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Josep Pla amb Llull,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Josep Pla, 33"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Xifré amb carrer Freser,Sant Martí,el Camp de l'Arpa del Clot,"C Xifré, 104"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Aribau amb carrer Via Augusta,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Aribau, 281"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Meridiana amb Espronceda,Sant Andreu,Navas,"Pl Ferran Reyes, 9"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Torre d'en Damians amb c. Creu Coberta,Sants-Montjuïc,Hostafrancs,"C Torre d'en Damians, 1"
P001,Internet i comunicacions,WiFi BCN,Arxiu Històric de la Ciutat de Barcelona,Ciutat Vella,el Barri Gòtic,"C Santa Llúcia, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Paris amb carrer Muntaner,Eixample,l'Antiga Esquerra de l'Eixample,"C París, 167"
P001,Internet i comunicacions,WiFi BCN,Oficina d'Atenció Ciutadana del Districte de Sarrià - Sant Gervasi,Sarrià-Sant Gervasi,les Tres Torres,"Anglí, 31"
P001,Internet i comunicacions,WiFi BCN,Jardins d'Interior d'Illa de Gaietà Renom,Les Corts,les Corts,"C Montnegre, 39"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal l'Espanya Industrial,Sants-Montjuïc,Hostafrancs,"C Muntadas, 37"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte Borrell amb Sepúlveda,Eixample,Sant Antoni,"C Sepúlveda, 109"
P001,Internet i comunicacions,WiFi BCN,Parc de la Creueta del Coll,Gràcia,el Coll,"Pg Mare de Déu del Coll, 77"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Mallorca,Eixample,l'Antiga Esquerra de l'Eixample,"C Villarroel, 148"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb l'Avinguda Diagonal,Sant Martí,Provençals del Poblenou,"Rbla Poblenou, 148"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte Borrell amb Manso,Eixample,Sant Antoni,"C Comte Borrell, 61"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Can Caralleu,Sarrià-Sant Gervasi,Sarrià,"C Esports, 2*8"
P001,Internet i comunicacions,WiFi BCN,Parc de Can Sabaté,Sants-Montjuïc,la Marina de Port,"C Mineria, 16"
P001,Internet i comunicacions,WiFi BCN,Biblioteca Vallcarca i els Penitents - Maria Antonieta Cot i Miralpeix,Gràcia,Vallcarca i els Penitents,"Pg Vall d'Hebron, 65*69"
P001,Internet i comunicacions,WiFi BCN,Complex Esportiu Municipal Olímpia,Sant Martí,Provençals del Poblenou,"C Perú, 215"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb Pallars,Sant Martí,el Poblenou,"C Bilbao, 89"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Josep Ferrater i Mora amb el Pg Garcia Faria,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"Av Litoral, 81"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Rambla Prim amb el Passeig Taulat,Sant Martí,el Besòs i el Maresme,"Pl Llevant, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el c. del Portal de Santa Madrona,Ciutat Vella,el Raval,"C la Rambla, 7"
P001,Internet i comunicacions,WiFi BCN,Oficina d'Atenció Ciutadana de la plaça Sant Miquel,Ciutat Vella,el Barri Gòtic,"Pl Sant Miquel, 3"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Diputació amb Padilla,Eixample,el Fort Pienc,"C Diputació, 472"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Av. Meridiana amb Sant Antoni M. Claret,Sant Andreu,Navas,"Av Meridiana, 247"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Claror,Gràcia,el Camp d'en Grassot i Gràcia Nova,"C Sardenya, 333"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Còrsega,Eixample,l'Antiga Esquerra de l'Eixample,"C Muntaner, 165"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Viladomat amb c. Consell de Cent,Eixample,la Nova Esquerra de l'Eixample,"C Viladomat, 155"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Viladomat amb Sepúlveda,Eixample,Sant Antoni,"C Viladomat, 101"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla entre Gran Via de les Corts Catalanes i Aribau,Eixample,Sant Antoni,"G.V. Corts Catalanes, 590"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Calvet amb La Forja,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Calvet, 48"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Vilamarí amb carrer València,Eixample,la Nova Esquerra de l'Eixample,"C Vilamarí, 83"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic El Carmel,Horta-Guinardó,el Carmel,"C Santuari, 27"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb Avinguda Diagonal,Sant Martí,el Poblenou,"Av Diagonal, 137"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb Bruc,Eixample,la Dreta de l'Eixample,"C Aragó, 309"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Girona amb carrer c. d'Ausiàs Marc,Eixample,la Dreta de l'Eixample,"C Girona, 11"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran Pati Llimona,Ciutat Vella,el Barri Gòtic,"Correu Vell, 5"
P001,Internet i comunicacions,WiFi BCN,Centre Cultural La Casa Elizalde,Eixample,la Dreta de l'Eixample,"C València, 302"
P001,Internet i comunicacions,WiFi BCN,Oficina d'Atenció Ciutadana del Districte de Gràcia,Gràcia,la Vila de Gràcia,"Pl Vila de Gràcia, 2"
P001,Internet i comunicacions,WiFi BCN,Espai Jove La Fontana-Sala d'Estudi La Fontana,Gràcia,la Vila de Gràcia,"C Gran de Gràcia, 190*192"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Trav. de Les Corts amb la Gran Via de Carles III,Les Corts,la Maternitat i Sant Ramon,"G.V. Carles III, 45"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Bac de Roda - Poblenou,Sant Martí,el Poblenou,"Camí Antic de València, 96*116"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Tarragona amb València,Sants-Montjuïc,Hostafrancs,"C Elisi, 36"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aribau amb Rosselló,Eixample,l'Antiga Esquerra de l'Eixample,"C Aribau, 125"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb el carrer Lepant,Horta-Guinardó,el Baix Guinardó,"Rda Guinardó, 47"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Sepúlveda amb Villarroel,Eixample,Sant Antoni,"C Villarroel, 39"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el carrer Casp,Eixample,la Dreta de l'Eixample,"Pg Sant Joan, 37"
P001,Internet i comunicacions,WiFi BCN,Casal de Joves Guineueta *Masia de la Guineueta,Nou Barris,la Guineueta,"Pl Ca n'Ensenya, 4"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Mallorca amb carrer Lepant,Eixample,la Sagrada Família,"C Mallorca, 436"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Bailèn,Eixample,la Dreta de l'Eixample,"C Aragó, 339"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Lepant amb Còrsega,Eixample,la Sagrada Família,"C Lepant, 319"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Cotxeres de Sants,Sants-Montjuïc,Sants,"C Sants, 79*83"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig Colom amb el carrer Simó Oller,Ciutat Vella,el Barri Gòtic,"Pg Colom, 14"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Còrsega amb carrer Bruc,Eixample,la Dreta de l'Eixample,"C Còrsega, 376"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb Pelai,Ciutat Vella,el Raval,"C Pelai, 34"
P001,Internet i comunicacions,WiFi BCN,Casal Infantil Sant Martí,Sant Martí,Sant Martí de Provençals,"C Selva de Mar, 215"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Diputació amb Comte Borrell,Eixample,la Nova Esquerra de l'Eixample,"C Diputació, 124"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb carrer de les Santjoanistes,Sarrià-Sant Gervasi,el Putxet i el Farró,"C Balmes, 294"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Diputació,Eixample,la Dreta de l'Eixample,"C Nàpols, 161"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Josep Pla amb el Passeig de Garcia Faria,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Josep Pla, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Cartagena amb carrer del Consell de Cent,Eixample,la Sagrada Família,"C Cartagena, 166"
P001,Internet i comunicacions,WiFi BCN,Fàbrica de Creació Ateneu Popular 9 Barris,Nou Barris,la Trinitat Nova,"C Portlligat, 11*15"
P001,Internet i comunicacions,WiFi BCN,Camp Municipal Futbol Narcís Sala-Bar,Sant Andreu,Sant Andreu,"C Santa Coloma, 39"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Rocafort amb l'Avinguda de Roma,Eixample,la Nova Esquerra de l'Eixample,"Av Roma, 70"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la Ronda del Guinardó 99,Horta-Guinardó,el Guinardó,"Rda Guinardó, 99"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Castella amb Av Diagonal,Sant Martí,Provençals del Poblenou,"C Castella, 38"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb el Passeig de Sant Joan,Eixample,la Dreta de l'Eixample,"Pg Sant Joan, 69"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Torrent de l'Olla amb carrer Nil Fabra,Gràcia,la Vila de Gràcia,"C Torrent de l'Olla, 201"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer París,Eixample,la Nova Esquerra de l'Eixample,"C Calàbria, 268"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte d'Urgell amb París,Eixample,la Nova Esquerra de l'Eixample,"C París, 113"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Secretari Coloma amb carrer Providència,Gràcia,el Camp d'en Grassot i Gràcia Nova,"C Secretari Coloma, 77"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el carrer Ausiàs Marc,Eixample,el Fort Pienc,"Pg Sant Joan, 30"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Trav. de Dalt amb els Jardins de Menéndez Pelayo,Gràcia,la Vila de Gràcia,"Trav Dalt, 38"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb el carrer Navas de Tolosa,Sant Martí,el Camp de l'Arpa del Clot,"C Navas de Tolosa, 343"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Plaça de Sanllehy amb Sardenya,Gràcia,la Salut,"Pl Sanllehy, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer de Sants amb Riera d'Escuder,Sants-Montjuïc,Sants,"C Sants, 213"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Marina amb Diputació,Eixample,el Fort Pienc,"C Diputació, 449"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Santa Agata amb el carrer Gran de Gràcia,Gràcia,la Vila de Gràcia,"C Santa Àgata, 1"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Santaló amb carrer Via Augusta,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Santaló, 109"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Castella amb Bolívia,Sant Martí,Provençals del Poblenou,"C Castella, 46"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Putxet,Sarrià-Sant Gervasi,el Putxet i el Farró,"C Marmellà, 23"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Vilamarí amb Diputació,Eixample,la Nova Esquerra de l'Eixample,"C Vilamarí, 62"
P001,Internet i comunicacions,WiFi BCN,Palau de la Música Catalana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","C Palau de la Música, 2"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Vil·la Florida,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,"C Muntaner, 544"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Marítim,Ciutat Vella,la Barceloneta,"Pg Marítim Barceloneta, 33"
P001,Internet i comunicacions,WiFi BCN,Casal de Barri Verneda,Sant Martí,la Verneda i la Pau,"C Santander, 6"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Estació del Nord,Eixample,el Fort Pienc,"C Nàpols, 42"
P001,Internet i comunicacions,WiFi BCN,Oficina d'Atenció Ciutadana del Districte d'Horta - Guinardó,Horta-Guinardó,el Baix Guinardó,"C Lepant, 387"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Guinardó-Sala d'Ús Polivalent i d'Actes,Horta-Guinardó,el Guinardó,"Rda Guinardó, 113*141"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer de Joan Güell amb Joaquim Molins,Les Corts,les Corts,"C Joan Güell, 210"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la Ronda Litoral amb el Parc del Fòrum,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"Pg Garcia Fària, 99"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic  Parc - Sandaru,Sant Martí,el Parc i la Llacuna del Poblenou,"C Buenaventura Muñoz, 21"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Madrazo,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"Via Augusta, 91"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Creu Coberta 104  amb Moianés,Sants-Montjuïc,Hostafrancs,"C Creu Coberta, 104"
P001,Internet i comunicacions,WiFi BCN,Parc de l'Estació del Nord,Eixample,el Fort Pienc,"C Nàpols, 70"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Josep Vicenç Foix amb Trinquet,Sarrià-Sant Gervasi,Sarrià,"Av J V Foix, 76"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Trinitat Vella,Sant Andreu,la Trinitat Vella,"C Foradada, 36*38"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta 226 amb Calvet,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"Via Augusta, 226"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig Maragall amb c. de Sant Antoni Maria Claret,Sant Martí,el Camp de l'Arpa del Clot,"Pg Maragall, 54"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran Parc del Guinardó,Horta-Guinardó,el Guinardó,"C Garriga i Roca, 62*64"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Lope de Vega amb Llull,Sant Martí,el Poblenou,"C Lope de Vega, 72"
P001,Internet i comunicacions,WiFi BCN,Estació d'Autobusos Barcelona Nord,Eixample,el Fort Pienc,"C Alí Bei, 80"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Can Felipa - Poblenou,Sant Martí,el Poblenou,"C Pallars, 277"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bac de Roda amb la Ronda del Litoral,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Bac de Roda, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Numància amb el carrer Flos i Calçat,Les Corts,les Corts,"C Numància, 185"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb Diputació,Eixample,la Dreta de l'Eixample,"C Balmes, 32"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb la Plaça del Teatre,Ciutat Vella,el Raval,"C la Rambla, 27"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte d'Urgell amb c.  del Consell de Cent,Eixample,la Nova Esquerra de l'Eixample,"C Comte d'Urgell, 93"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Marina amb Aragó,Eixample,la Sagrada Família,"C Aragó, 435"
P001,Internet i comunicacions,WiFi BCN,"Punt de connexió Barcelona WiFi al carrer Lepant, 387",Horta-Guinardó,el Baix Guinardó,"C Lepant, 387"
P001,Internet i comunicacions,WiFi BCN,Centre de Serveis Socials Nova Esquerra de l'Eixample,Eixample,la Nova Esquerra de l'Eixample,"C Comte Borrell, 305"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Lope de Vega amb el Passeig Garcia Faria,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Lope de Vega, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb carrer del Dos de Maig,Eixample,la Sagrada Família,"C Indústria, 196"
